family,depth_bin,depth_center,K,normalized_mode_energy,n_tasks
Classification,1,0.13636363636363635,71,0.003392036742817028,2
Classification,1,0.13636363636363635,72,0.003282259234235638,2
Classification,1,0.13636363636363635,73,0.003167558773155606,2
Classification,1,0.13636363636363635,74,0.003127726809024684,2
Classification,1,0.13636363636363635,75,0.003098458889836983,2
Classification,1,0.13636363636363635,76,0.0030255571092411967,2
Classification,1,0.13636363636363635,77,0.0030212678889913634,2
Classification,1,0.13636363636363635,78,0.0029331565419529323,2
Classification,1,0.13636363636363635,79,0.002944150678072792,2
Classification,1,0.13636363636363635,80,0.002899706503541024,2
Classification,2,0.22727272727272727,1,0.21648390785919938,3
Classification,2,0.22727272727272727,2,0.05345345736550991,3
Classification,2,0.22727272727272727,3,0.04936019167850922,3
Classification,2,0.22727272727272727,4,0.04117012775766142,3
Classification,2,0.22727272727272727,5,0.03522287827528107,3
Classification,2,0.22727272727272727,6,0.03111501862572748,3
Classification,2,0.22727272727272727,7,0.028952404431096816,3
Classification,2,0.22727272727272727,8,0.026322197504084138,3
Classification,2,0.22727272727272727,9,0.024407705685334197,3
Classification,2,0.22727272727272727,10,0.023544883959851423,3
Classification,2,0.22727272727272727,11,0.021092258232417904,3
Classification,2,0.22727272727272727,12,0.01972873550010147,3
Classification,2,0.22727272727272727,13,0.01844640975129554,3
Classification,2,0.22727272727272727,14,0.017765077308509274,3
Classification,2,0.22727272727272727,15,0.0168135138514174,3
Classification,2,0.22727272727272727,16,0.015650947860709894,3
Classification,2,0.22727272727272727,17,0.014970704472983985,3
Classification,2,0.22727272727272727,18,0.014222915696710081,3
Classification,2,0.22727272727272727,19,0.013742537630952692,3
Classification,2,0.22727272727272727,20,0.012969106900924869,3
Classification,2,0.22727272727272727,21,0.012530657764834766,3
Classification,2,0.22727272727272727,22,0.012032683167542428,3
Classification,2,0.22727272727272727,23,0.011597291951591536,3
Classification,2,0.22727272727272727,24,0.010936391420102025,3
Classification,2,0.22727272727272727,25,0.010494474546224633,3
Classification,2,0.22727272727272727,26,0.01032728940499948,3
Classification,2,0.22727272727272727,27,0.009972398082131295,3
Classification,2,0.22727272727272727,28,0.009485508796527667,3
Classification,2,0.22727272727272727,29,0.009041601512811678,3
Classification,2,0.22727272727272727,30,0.008914508677626458,3
Classification,2,0.22727272727272727,31,0.008542518147315601,3
Classification,2,0.22727272727272727,32,0.00820836902763626,3
Classification,2,0.22727272727272727,33,0.007986755282381821,3
Classification,2,0.22727272727272727,34,0.007588689079089731,3
Classification,2,0.22727272727272727,35,0.007507045256878924,3
Classification,2,0.22727272727272727,36,0.0071636112427666265,3
Classification,2,0.22727272727272727,37,0.00685030702048815,3
Classification,2,0.22727272727272727,38,0.006771637536933428,3
Classification,2,0.22727272727272727,39,0.006446234636194364,3
Classification,2,0.22727272727272727,40,0.006412047546837604,3
Classification,2,0.22727272727272727,41,0.0063712599293391835,3
Classification,2,0.22727272727272727,42,0.006044706692994579,3
Classification,2,0.22727272727272727,43,0.006063846236499749,3
Classification,2,0.22727272727272727,44,0.005819703198790453,3
Classification,2,0.22727272727272727,45,0.005982227792183728,3
Classification,2,0.22727272727272727,46,0.0054415272831380805,3
Classification,2,0.22727272727272727,47,0.00569746153064092,3
Classification,2,0.22727272727272727,48,0.005132435135646043,2
Classification,2,0.22727272727272727,49,0.004910109629772219,2
Classification,2,0.22727272727272727,50,0.004936985517799872,2
Classification,2,0.22727272727272727,51,0.004847815843058725,2
Classification,2,0.22727272727272727,52,0.004701820118689439,2
Classification,2,0.22727272727272727,53,0.00461897639687558,2
Classification,2,0.22727272727272727,54,0.004590688627425742,2
