metric,task,model,seed,pearson,spearman,kendall,distance,family
Curvature,Banking77Classification.v2,e5_base_v2,33,0.8956805022511407,0.8303519364560458,0.6667948594698255,0.8589412927497613,Core class-organized
Curvature,Banking77Classification.v2,e5_base_v2,44,0.9279150962542456,0.9063395272835296,0.7533102835258899,0.9257756716699188,Core class-organized
DiME,Banking77Classification.v2,e5_base_v2,11,0.0627130331175742,-0.3226956572857447,-0.2553154670622188,0.3914087106692118,Core class-organized
DiME,Banking77Classification.v2,e5_base_v2,22,0.1573383956205142,-0.0083691858132327,-0.0403129684835082,0.394373660515384,Core class-organized
DiME,Banking77Classification.v2,e5_base_v2,33,0.1114183885604864,-0.0413796646074441,-0.0653720450460613,0.3824798609675631,Core class-organized
DiME,Banking77Classification.v2,e5_base_v2,44,0.2926796436150839,0.385676394588736,0.2597621667330655,0.5639186283966952,Core class-organized
Harmora,Banking77Classification.v2,e5_base_v2,11,0.5443975465887021,0.2754040523386959,0.22844015473988,0.7231845039056772,Core class-organized
Harmora,Banking77Classification.v2,e5_base_v2,22,0.4690252206730843,0.1645939876602432,0.1209389054505247,0.701875834895056,Core class-organized
Harmora,Banking77Classification.v2,e5_base_v2,33,0.3876165475480996,0.0137932215358147,-0.0130744090092122,0.7413256076438098,Core class-organized
Harmora,Banking77Classification.v2,e5_base_v2,44,0.3021559121930317,0.0275483138991954,-0.0519524333466131,0.6640932933322407,Core class-organized
InfoNCE,Banking77Classification.v2,e5_base_v2,11,0.0907666013762606,-0.1557841104138077,-0.1209389054505247,0.3800107052357649,Core class-organized
InfoNCE,Banking77Classification.v2,e5_base_v2,22,0.1848376791030789,0.1729631734734759,0.0940635931281859,0.4171773963303111,Core class-organized
InfoNCE,Banking77Classification.v2,e5_base_v2,33,0.1481198813601839,0.1020698393650288,0.0653720450460613,0.4152024172414339,Core class-organized
InfoNCE,Banking77Classification.v2,e5_base_v2,44,0.3085508722050611,0.3966957201484142,0.3117146000796786,0.582322089837712,Core class-organized
LiDAR,Banking77Classification.v2,e5_base_v2,11,-0.0358272676814378,0.2169850109335179,0.1746895300952023,0.4308080203499262,Core class-organized
LiDAR,Banking77Classification.v2,e5_base_v2,22,0.0369798756433337,0.287342046254323,0.22844015473988,0.4357512313145392,Core class-organized
LiDAR,Banking77Classification.v2,e5_base_v2,33,0.1655783714325746,0.5186251297466333,0.3268602252303066,0.5133808573341555,Core class-organized
LiDAR,Banking77Classification.v2,e5_base_v2,44,0.2756494381497536,0.476585830456081,0.3636670334262917,0.5242961198919754,Core class-organized
Matrix entropy,Banking77Classification.v2,e5_base_v2,11,0.1004534963594948,-0.1891664197881951,-0.1478142177728635,0.3860978704611621,Core class-organized
Matrix entropy,Banking77Classification.v2,e5_base_v2,22,0.1965620011467633,0.1562248018470105,0.067188280805847,0.4218142900924013,Core class-organized
Matrix entropy,Banking77Classification.v2,e5_base_v2,33,0.1545711054994882,0.096552550750703,0.0392232270276368,0.4176685111753315,Core class-organized
