metric,family,task,ndcg_at_1_mean,ndcg_at_1_variance,ndcg_at_3_mean,ndcg_at_3_variance,selected_percentile_mean,selected_percentile_variance,top1_overlap_mean,top1_overlap_variance,top3_overlap_mean,top3_overlap_variance,top5_overlap_mean,top5_overlap_variance,ndcg_at_5_mean,ndcg_at_5_variance,regret_at_1_mean,regret_at_1_variance,n_seeds
Curvature,Similarity-dominated,STS15,0.5766159279172003,0.0,0.7530882183847524,0.0,0.3428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6928378360319669,0.0,0.2670629511359491,0.0,4
DiME,Similarity-dominated,STS15,0.9250197215142688,0.0,0.827486044630369,0.0,0.9142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80046558113119,0.0,0.0472961922041283,0.0,4
Harmora,Similarity-dominated,STS15,0.9467195241324006,0.0,0.6314878116589412,0.0,0.9523809523809524,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.7368870806558572,0.0,0.0336083524661883,0.0,4
InfoNCE,Similarity-dominated,STS15,0.7938585086796303,0.0,0.8786495485069139,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8491932891066727,0.0,0.1300302931868847,0.0,4
LiDAR,Similarity-dominated,STS15,0.7037769569808879,0.0,0.781840219843075,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7605224158892488,0.0,0.1868520931219254,0.0,4
Matrix entropy,Similarity-dominated,STS15,0.9371901962772224,0.0,0.9131390329856756,0.0,0.9428571428571428,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8722068032055373,0.0,0.039619278684613,0.0,4
Participation ratio,Similarity-dominated,STS15,0.9371901962772224,0.0,0.8405764434457053,0.0,0.9428571428571428,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.849353100204849,0.0,0.039619278684613,0.0,4
Spectral gap,Similarity-dominated,STS15,0.6399904703883565,0.0,0.7336513230783203,0.0,0.3904761904761905,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.754844779923449,0.0,0.227087445548371,0.0,4
Anisotropy,Similarity-dominated,STS16,0.8630660668513416,0.0,0.8280031116091152,0.0,0.9333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.802835181101824,0.0,0.0899436386044352,0.0,4
Curvature,Similarity-dominated,STS16,0.295684101374581,0.0,0.2907193665281095,0.0,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3490364628435373,0.0,0.4626226180222981,0.0,4
