metric,task,seed,ndcg_at_1,ndcg_at_3,selected_percentile,top1_overlap,top3_overlap,top5_overlap,ndcg_at_5,regret_at_1,family
LiDAR,Banking77Classification.v2,11,0.7066666666666666,0.7042169339461406,0.8,0.0,0.0,0.0,0.7067076133650262,0.1428571428571429,Core class-organized
LiDAR,Banking77Classification.v2,22,0.6976744186046513,0.7015023269569343,0.7095238095238096,0.0,0.0,0.0,0.6999623985358515,0.1688311688311687,Core class-organized
LiDAR,Banking77Classification.v2,33,0.7159090909090909,0.7142857142857143,0.819047619047619,0.0,0.0,0.0,0.7278322461496646,0.1623376623376623,Core class-organized
LiDAR,Banking77Classification.v2,44,0.7674418604651162,0.7820765554566371,0.7904761904761904,0.0,0.0,0.0,0.791750898034513,0.1298701298701299,Core class-organized
Matrix entropy,Banking77Classification.v2,11,0.8266666666666665,0.8087559026074157,0.9142857142857144,0.0,0.0,0.0,0.7720520058078911,0.0844155844155845,Core class-organized
Matrix entropy,Banking77Classification.v2,22,0.9534883720930232,0.8763573552089167,0.9666666666666668,0.0,0.0,0.2,0.8279737546593335,0.0259740259740259,Core class-organized
Matrix entropy,Banking77Classification.v2,33,0.8409090909090909,0.835552345765482,0.919047619047619,0.0,0.0,0.2,0.8117480262292279,0.0909090909090909,Core class-organized
Matrix entropy,Banking77Classification.v2,44,0.9534883720930232,0.9021178826890592,0.961904761904762,0.0,0.0,0.0,0.8624927130718553,0.0259740259740259,Core class-organized
Participation ratio,Banking77Classification.v2,11,0.6933333333333334,0.6629685664282425,0.7619047619047619,0.0,0.0,0.0,0.6784108969563589,0.1493506493506493,Core class-organized
Participation ratio,Banking77Classification.v2,22,0.686046511627907,0.6870672871885157,0.6476190476190476,0.0,0.0,0.0,0.6913123695657721,0.1753246753246753,Core class-organized
Participation ratio,Banking77Classification.v2,33,0.6931818181818182,0.7204826541876053,0.7666666666666667,0.0,0.0,0.0,0.725449232427462,0.1753246753246753,Core class-organized
Participation ratio,Banking77Classification.v2,44,0.744186046511628,0.7617727367937186,0.7047619047619048,0.0,0.0,0.0,0.7689495743808705,0.1428571428571428,Core class-organized
Spectral gap,Banking77Classification.v2,11,0.6933333333333334,0.68324814937111,0.7619047619047619,0.0,0.0,0.0,0.6987518535030346,0.1493506493506493,Core class-organized
Spectral gap,Banking77Classification.v2,22,0.686046511627907,0.6801438822047687,0.6476190476190476,0.0,0.0,0.0,0.6957371298487579,0.1753246753246753,Core class-organized
Spectral gap,Banking77Classification.v2,33,0.6931818181818182,0.6928251714635011,0.7666666666666667,0.0,0.0,0.0,0.7014787579507943,0.1753246753246753,Core class-organized
Spectral gap,Banking77Classification.v2,44,0.744186046511628,0.7617727367937186,0.7047619047619048,0.0,0.0,0.0,0.7732927189431512,0.1428571428571428,Core class-organized
Anisotropy,EmotionClassification.v2,11,0.488888888888889,0.5236454378825639,0.3428571428571428,0.0,0.0,0.0,0.56003325091886,0.1503267973856208,Core class-organized
Anisotropy,EmotionClassification.v2,22,0.4999999999999998,0.5723876325208207,0.5142857142857142,0.0,0.0,0.0,0.572776668836901,0.1960784313725491,Core class-organized
Anisotropy,EmotionClassification.v2,33,0.6222222222222221,0.5559481025744608,0.6190476190476191,0.0,0.0,0.0,0.5538964370021897,0.1111111111111111,Core class-organized
Anisotropy,EmotionClassification.v2,44,0.4285714285714284,0.5535773782191585,0.238095238095238,0.0,0.0,0.0,0.5774373954750525,0.1830065359477125,Core class-organized
Curvature,EmotionClassification.v2,11,0.488888888888889,0.5099533157946022,0.3428571428571428,0.0,0.0,0.0,0.5039801451211144,0.1503267973856208,Core class-organized
Curvature,EmotionClassification.v2,22,0.5833333333333331,0.6310243015909698,0.6761904761904762,0.0,0.0,0.0,0.5672038319085363,0.1633986928104576,Core class-organized
Curvature,EmotionClassification.v2,33,0.7333333333333332,0.6634256332301646,0.7523809523809524,0.0,0.0,0.0,0.6129580527011775,0.0784313725490196,Core class-organized
Curvature,EmotionClassification.v2,44,0.6326530612244897,0.6351692296271977,0.638095238095238,0.0,0.0,0.0,0.6091923241849719,0.1176470588235294,Core class-organized
DiME,EmotionClassification.v2,11,0.1555555555555555,0.2619490292498295,0.0095238095238095,0.0,0.0,0.0,0.3183685092859923,0.2483660130718954,Core class-organized
DiME,EmotionClassification.v2,22,0.3666666666666665,0.3722884130586034,0.2714285714285714,0.0,0.0,0.0,0.382939464419321,0.2483660130718955,Core class-organized
DiME,EmotionClassification.v2,33,0.2222222222222221,0.2528409365357163,0.0571428571428571,0.0,0.0,0.0,0.2969376149550266,0.2287581699346406,Core class-organized
DiME,EmotionClassification.v2,44,0.36734693877551,0.4543057062413371,0.0857142857142857,0.0,0.0,0.0,0.4502711560368096,0.2026143790849673,Core class-organized
